Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1032,60410.94,5274.245,4,7,17,4,"Student Loan, Home Equity Loan, Not Specified, and Payday Loan",24,9,10.65,9.0,Standard,1852.86,31.80839553625598,16 Years and 3 Months,Yes,149.9263873826631,481.4927768814807,!@9#%8,176.00533573585616,2023-08-01
CUS_0x1037,15989.085,1086.42375,5,4,2,4,"Credit-Builder Loan, Auto Loan, Auto Loan, and Mortgage Loan",13,15,0.5,3.0,Good,665.82,40.69769934536393,19 Years and 9 Months,No,33.797020629881075,80.46523951443457,Low_spent_Small_value_payments,284.3801148556844,2023-01-01
CUS_0x1038,129473.16,10959.43,3,4,10,3,"Payday Loan, Payday Loan, and Home Equity Loan",28,13,8.61,10.0,Standard,568.21,34.089318015879286,20 Years and 0 Months,Yes,255.32790499097848,1088.2714495635144,Low_spent_Medium_value_payments,32.34364544550715,2024-10-01
CUS_0x103e,98690.8,8262.233333333334,4,6,9,1_,Student Loan,6,17,10.76,4.0,Good,706.96,26.860663456485163,26 Years and 11 Months,No,55.004407569291885,913.4813186573292,Low_spent_Small_value_payments,147.7376071067124,2024-12-01
CUS_0x1041,8978.11,894.1758333333332,8,8,30,9,"Payday Loan, Mortgage Loan, Payday Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, Mortgage Loan, Not Specified, and Student Loan",50,17,18.48,10.0,Bad,4913.15,37.74656726266676,10 Years and 5 Months,Yes,57.67965790681974,43.56585814621352,High_spent_Small_value_payments,248.1720672803001,2023-11-01
CUS_0x1044,33441.59,2748.799166666666,2,4,1,0,,1,4,9.58,5.0,_,154.96,35.984108540767004,31 Years and 11 Months,No,0.0,229.53226071473443,Low_spent_Small_value_payments,335.34765595193227,2023-06-01
CUS_0x1048,42387.54,3680.295,3,7,26,7,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, and Debt Consolidation Loan",9,8,10.34,7.0,Standard,1835.67,28.75306000732747,10 Years and 0 Months,Yes,225.883368970478,133.51336229583663,High_spent_Small_value_payments,268.6327687336854,2024-02-01
CUS_0x104a,14981.39,1461.4491666666663,2,7,5,4,"Mortgage Loan, Auto Loan, Not Specified, and Payday Loan",5,6,0.63,4.0,Good,1122.46,39.64164181721113,32 Years and 3 Months,No,38.11596751942855,164.88918149049954,Low_spent_Small_value_payments,233.13976765673854,2023-12-01
CUS_0x104e,19180.87,1688.405833333333,8,4,18,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",5,17,9.32,6.0,Standard,1127.57,29.46533771819808,25 Years and 2 Months,No,57.36421100960239,107.98322725525713,High_spent_Small_value_payments,263.49314506847384,2023-06-01
CUS_0x104f,11336.835,992.73625,4,6,14,6,"Auto Loan, Payday Loan, Student Loan, Auto Loan, Auto Loan, and Personal Loan",30,19,16.44,7.0,_,177.98,37.71745659884346,14 Years and 10 Months,NM,35.56273086250209,133.79735014337106,Low_spent_Small_value_payments,219.91354399412685,2024-10-01
CUS_0x1051,35022.22,2859.518333333333,3,5,4,1,Student Loan,6,11,_,5.0,Good,1000.44,25.390232145913483,28 Years and 6 Months,No,21.21457645232058,259.34511343711983,Low_spent_Small_value_payments,295.39214344389296,2024-01-01
CUS_0x1056,16053.86,1196.8216666666667,8,6,24,5,"Student Loan, Student Loan, Not Specified, Personal Loan, and Debt Consolidation Loan",27,18,0.83,12.0,Bad,2107.76,36.85466926663253,16 Years and 2 Months,Yes,44.86029054336601,154.06862404801825,Low_spent_Small_value_payments,210.7532520752824,2023-04-01
CUS_0x1057,86617.16,7250.096666666667,8,4,6,3,"Auto Loan, Student Loan, and Payday Loan",16,21,7.26,4.0,Standard,718.53,35.55554010560421,24 Years and 11 Months,No,141.3820546343075,976.1638750557892,!@9#%8,636.422471527819,2023-09-01
CUS_0x105b,34428.21,2289.593700256465,2,4,8,0,,8,11,8.51,0.0,_,180.7,35.13053991265236,27 Years and 6 Months,No,285.4237997435352,61.13170395137558,!@9#%8,446.3700460486243,2023-11-01
CUS_0x105c,127617.6,10596.8,0,4,5,3,"Not Specified, Mortgage Loan, and Payday Loan",3,6,12.22,0.0,Good,542.91,39.87736764081963,24 Years and 4 Months,No,211.05460599751723,__10000__,High_spent_Medium_value_payments,861.6006703641515,2023-06-01
CUS_0x1063,128698.76,10628.896666666666,7,5,10,4,"Personal Loan, Mortgage Loan, Payday Loan, and Debt Consolidation Loan",8,14,10.67,12.0,_,583.11,28.440370434620167,16 Years and 11 Months,Yes,251.6127820563614,136.3149548476463,High_spent_Large_value_payments,914.9619297626593,2023-12-01
CUS_0x1069,58637.34,4799.445,4,6,10,119,"Personal Loan, Auto Loan, and Not Specified",9,17,12.56,5.0,Standard,208.8,25.23314363376225,30 Years and 8 Months,Yes,139.8850133927109,165.21061289035896,High_spent_Small_value_payments,434.8488737169301,2023-01-01
CUS_0x106f,134035.08,11102.589999999998,0,5,10,2,"Home Equity Loan, and Mortgage Loan",6,7,5.32,8.0,Good,767.91,31.12893781571753,24 Years and 11 Months,No,143.48373199958996,1075.3385104350662,Low_spent_Medium_value_payments,171.43675756534392,2023-08-01
CUS_0x1075,24709.33,1933.468717801689,5,5,6,3,"Student Loan, Debt Consolidation Loan, and Personal Loan",27,11,7.0,1497.0,_,413.18,32.76125199236517,17 Years and 10 Months,No,196.02716159875592,120.55873988527756,Low_spent_Small_value_payments,334.6672973809443,2024-05-01
CUS_0x107c,49718.55_,4179.2125,7,10,27,6_,"Payday Loan, Mortgage Loan, Home Equity Loan, Payday Loan, Auto Loan, and Auto Loan",27,17,10.5,7.0,Bad,1920.25,30.10963834234661,14 Years and 0 Months,Yes,231.95678064503065,430.88393873056435,Low_spent_Small_value_payments,45.080530624405014,2023-11-01
CUS_0x107e,75095.91,6269.9925,5,6,15,6,"Personal Loan, Payday Loan, Personal Loan, Student Loan, Home Equity Loan, and Payday Loan",9,10,20.53,8.0,Standard,989.71,24.21913739089471,12 Years and 0 Months,Yes,78446.0,__10000__,Low_spent_Medium_value_payments,234.06656029063686,2024-11-01
CUS_0x1087,42153.13,3377.7608333333333,5,4,10,3,"Payday Loan, Not Specified, and Payday Loan",10,9,4.81,7.0,Good,1027.64,26.34447694521021,28 Years and 5 Months,No,79.29961145958775,80.62490239728156,High_spent_Small_value_payments,437.851569476464,2024-09-01
CUS_0x108a,36982.36,2554.813823273585,7,9,21,9,"Student Loan, Student Loan, Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, Student Loan, and Personal Loan",15,15,24.61,15.0,_,4882.12,32.002993587280805,7 Years and 9 Months,Yes,454.41955211428353,275.8074536448028,Low_spent_Medium_value_payments,84.70883763399478,2023-05-01
CUS_0x1096,12931.56,1348.63,4,4,9,3,"Not Specified, Debt Consolidation Loan, and Home Equity Loan",18,20,18.51,3.0,Standard,752.86,27.70974959154035,21 Years and 4 Months,Yes,20.579154708485927,105.56661253457969,Low_spent_Small_value_payments,298.7172327569344,2024-03-01
CUS_0x1098,20652.98_,1468.081666666667,7,5,21,2,"Auto Loan, and Payday Loan",24,10,8.58,8.0,Standard,1859.53,37.44110091296552,18 Years and 11 Months,NM,33.238356239959586,54.60338563277085,Low_spent_Small_value_payments,348.96642479393626,2025-01-01
CUS_0x109b,31641.93,2610.8275,4,6,7,3,"Personal Loan, Student Loan, and Personal Loan",25,12,3.3699999999999988,1.0,Standard,583.6,40.34938872423535,20 Years and 5 Months,No,60.33629926519114,84.09047925785762,Low_spent_Small_value_payments,344.6589324314184,2023-10-01
CUS_0x109d,49140.87,4377.0725,10,6,27,6,"Not Specified, Not Specified, Mortgage Loan, Mortgage Loan, Payday Loan, and Payday Loan",35,18,16.66,11.0,Bad,2950.8,31.16378561923996,6 Years and 6 Months,NM,154.17242632517255,301.5937949187359,Low_spent_Small_value_payments,271.94102875609155,2024-04-01
CUS_0x109f,130435.86000000002,10623.655,4,846,9,2,"Home Equity Loan, and Home Equity Loan",13,1,12.85,0.0,Good,942.71,34.78470397665838,29 Years and 11 Months,NM,188.18613322151185,1070.730679227028,Low_spent_Medium_value_payments,81.1419359951725,2025-01-01
CUS_0x10a9,17603.265,1324.9459783621264,8,6,4,0,,9,12,10.27,4.0,_,836.66,41.792552501915615,15 Years and 9 Months,No,102.9927716378738,20.63448928511361,High_spent_Large_value_payments,362.1593857148864,2024-10-01
CUS_0x10aa,114432.03,9272.0025,1,2,7,0,,9,9,7.98,4.0,Good,444.51,39.01478410347445,21 Years and 6 Months,No,0.0,101.64930256046962,High_spent_Large_value_payments,1065.5509474395303,2023-02-01
CUS_0x10ac,16718.645,1270.2204166666668,7,3,15,4,"Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, and Debt Consolidation Loan",26,11,18.45,1.0,_,853.41,31.39733884144666,16 Years and 3 Months,No,50.9619359000891,36.41309208442618,!@9#%8,319.6470136821514,2024-08-01
CUS_0x10b3,136150.6,11127.883333333331,1,5,9,3,"Student Loan, Student Loan, and Auto Loan",10,3,10.72,3.0,_,260.29,35.958594509030085,27 Years and 4 Months,NM,177.65407218247665,1302.3574307873828,Low_spent_Small_value_payments,898.3588009083421,2024-11-01
CUS_0x10b6,5691341.0,1712.969166666667,7,3,19,3,"Payday Loan, Credit-Builder Loan, and Debt Consolidation Loan",6,12,1.23,1.0,Standard,277.93,40.27854125759779,18 Years and 4 Months,No,37.99637812752503,65.372164147804,High_spent_Small_value_payments,327.9283743913377,2025-01-01
CUS_0x10bb,60830.92,5044.243333333333,0,1,11,4,"Payday Loan, Home Equity Loan, Auto Loan, and Debt Consolidation Loan",14,3,7.41,0.0,_,133.63,38.71229771775232,23 Years and 10 Months,No,159.79934699914432,404.04581806804174,Low_spent_Small_value_payments,230.57916826614724,2023-03-01
CUS_0x10c0,49454.13,4328.1775,8,5,23,2_,"Payday Loan, and Auto Loan",59,23,4.95,8.0,Bad,1388.56,28.97842663428932,13 Years and 4 Months,NM,73.34635944957465,148.5406575943259,Low_spent_Medium_value_payments,459.07807620141364,2024-02-01
CUS_0x10c5,158623.16,13180.596666666665,2,7,10,1,Payday Loan,10,5,6.04,0.0,Good,1134.83,41.7968001237713,30 Years and 2 Months,No,91.03390497961712,282.71868909757717,High_spent_Medium_value_payments,1194.3070725894725,2024-08-01
CUS_0x10d7,15968.14,1380.678333333333,7,7,21,9,"Personal Loan, Auto Loan, Mortgage Loan, Auto Loan, Credit-Builder Loan, Auto Loan, Student Loan, Personal Loan, and Personal Loan",37,21,17.26,14.0,Bad,4912.8,39.89441606895375,12 Years and 4 Months,Yes,77.99711821646055,128.5986713486603,Low_spent_Medium_value_payments,211.47204376821247,2023-12-01
CUS_0x10dd,105645.6,9090.8,4,3,5,4,"Credit-Builder Loan, Student Loan, Payday Loan, and Personal Loan",28,19,2.41,4.0,_,1336.91,40.455481525263146,21 Years and 4 Months,No,315.40610064414074,170.89918722293208,High_spent_Large_value_payments,662.7747121329272,2024-06-01
CUS_0x10df,9929.235,828.4362500000002,4,8,23,3,"Not Specified, Auto Loan, and Student Loan",16,18_,11.5,14.0,Standard,2328.08,36.50926646104516,7 Years and 2 Months,Yes,18.120966441843297,74.96443136195327,Low_spent_Small_value_payments,260.9159334781246,2024-11-01
CUS_0x10e2,43133.85000000001,3432.487500000001,10,10,31,7,"Personal Loan, Auto Loan, Not Specified, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, and Credit-Builder Loan",43,24,6.41,11.0,Bad,2504.1,27.11586056380063,10 Years and 9 Months,Yes,151.28725497549289,67.89250966068741,High_spent_Large_value_payments,364.0689853638198,2025-01-01
CUS_0x10e7,64933.76,5368.1466666666665,3,3,33,-100,"Mortgage Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",15,19,13.04,11.0,Standard,2699.17_,24.95863819730197,14 Years and 4 Months,Yes,193.69258208877807,186.14666535889234,High_spent_Medium_value_payments,406.9754192189962,2024-11-01
CUS_0x10eb,28315.95_,2415.6625,4,7,10,2_,"Student Loan, and Payday Loan",8,8,10.34,4.0,Good,677.4,26.91232349813161,20 Years and 5 Months,No,30.230996271640148,133.04883496511272,Low_spent_Small_value_payments,368.28641876324724,2023-03-01
CUS_0x10ee,12660.16,909.0133333333332,5,7,15,0,,8,14,15.1,2.0,Standard,456.02,33.46263115825526,25 Years and 4 Months,No,0.0,__10000__,!@9#%8,338.2549367415748,2023-06-01
CUS_0x10f9,150131.68,11102.135321735655,5,1,4,0,,8,0,7.49,0.0,Good,1138.36,45.2558066955709,31 Years and 11 Months,No,1494.8380115976777,180.7591380504137,High_spent_Medium_value_payments,1328.93819528292,2023-05-01
CUS_0x10fd,39576.59,3199.049166666666,0,7,2,4,"Personal Loan, Mortgage Loan, Home Equity Loan, and Home Equity Loan",14,4,4.62,3.0,_,226.37,29.326166044456954,19 Years and 11 Months,No,124.31083909356008,104.7631642205206,High_spent_Medium_value_payments,340.83091335258587,2023-12-01
CUS_0x10ff,16341.075,1292.75625,4,4,6,2,"Auto Loan, and Student Loan",8,20,_,4.0,Standard,684.05,39.405195444591534,17 Years and 1 Months,No,16.960460461757126,151.95412763565508,Low_spent_Small_value_payments,250.36103690258773,2023-10-01
CUS_0x1100,43062.54_,3607.545,6,10,23,2,"Mortgage Loan, and Student Loan",55,20,19.05,13.0,Standard,2169.75,30.04262296575237,15 Years and 3 Months,Yes,47.499818741612366,71.94658528758634,High_spent_Medium_value_payments,491.30809597080133,2023-10-01
CUS_0x1107,28952.76,2338.73,7,9,21,8,"Personal Loan, Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, and Not Specified",38,25,2.46,16.0,Bad,2717.85,28.629538257401137,1 Years and 2 Months,Yes,155.77998901144184,56.7778041826906,!@9#%8,261.3152068058676,2023-11-01
CUS_0x1108,117499.47,9780.6225,4,5,8,0,,10,8,8.32,4.0,Good,337.9,30.61812257306397,30 Years and 8 Months,No,0.0,334.3979770998342,Low_spent_Medium_value_payments,923.6642729001657,2024-07-01
CUS_0x1109,76284.72,6451.06,6,10,18,6,"Home Equity Loan, Credit-Builder Loan, Auto Loan, Not Specified, Payday Loan, and Mortgage Loan",24,12,6.69,11.0,Standard,1957.32,29.3644336737857,20 Years and 1 Months,Yes,222.95900228494304,163.64946924134182,High_spent_Medium_value_payments,508.4975284737153,2024-06-01
CUS_0x1119,56301.9,4593.825,9,5,26,2,"Not Specified, and Not Specified",15,18,14.73,14.0,_,2161.23,37.38149611193315,14 Years and 6 Months,Yes,50.11934808737193,310.84444036433723,Low_spent_Medium_value_payments,378.41871154829084,2023-05-01
CUS_0x111b,70277.22,5633.435,3,6,7,3,"Not Specified, Not Specified, and Home Equity Loan",5,9,4.050000000000002,7.0,Good,762.48,36.53293818170338,20 Years and 6 Months,No,149.93410641234473,496.79119085081146,Low_spent_Large_value_payments,186.61820273684376,2024-10-01
CUS_0x111c,71809.76,6168.1466666666665,7,7,17,8,"Debt Consolidation Loan, Not Specified, Home Equity Loan, Auto Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Personal Loan",52,15,1.58,7.0,_,4439.92,34.46230520977181,6 Years and 11 Months,Yes,297.91768403000606,91.859365807689,High_spent_Large_value_payments,467.0376168289717,2024-03-01
CUS_0x1123,15264.98,1266.0816666666667,6,5,34,3,"Home Equity Loan, Credit-Builder Loan, and Auto Loan",23,14,9.68,14.0,Bad,2375.88,24.094344057885515,8 Years and 10 Months,Yes,50563.0,136.95202265544256,Low_spent_Small_value_payments,242.8660473000196,2024-10-01
CUS_0x112d,14728.21,1480.3508333333332,10,9,31,-100,"Payday Loan, Personal Loan, Not Specified, Not Specified, and Personal Loan",49,11,9.27,7.0,_,2390.37,31.96601770183103,16 Years and 11 Months,Yes,41.58565127954797,103.2308182853155,Low_spent_Small_value_payments,311.19730867353246,2024-03-01
CUS_0x112e,20162.26,1872.188333333333,8,4,11,4_,"Home Equity Loan, Home Equity Loan, Personal Loan, and Auto Loan",13,10,1.71,2.0,Standard,660.26,34.49702609636193,19 Years and 9 Months,No,66.24488172410403,209.33968673482013,Low_spent_Small_value_payments,201.63426487440918,2024-04-01
CUS_0x112f,75506.42,6050.201666666668,1,4,5,1,Auto Loan,1,2,3.44,7.0,Good,1069.19,39.848918502421775,23 Years and 8 Months,No,60.903643233171024,278.2980758592782,Low_spent_Small_value_payments,555.8184475742175,2023-10-01
CUS_0x1130,137798.88,10609.791908648782,6,726,13,0,,23,12,9.25,2.0,Standard,1056.3,30.0543105570062,27 Years and 5 Months,No,988.4480913512176,1156.953782699478,Low_spent_Medium_value_payments,282.87021730052203,2023-07-01
CUS_0x1132,46268.4,3983.7,5,4,20,4_,"Student Loan, Debt Consolidation Loan, Student Loan, and Home Equity Loan",27,17,9.58,9.0,_,1447.57,30.45722270101841,14 Years and 0 Months,Yes,103.77805009014692,230.94915382236252,High_spent_Small_value_payments,323.6427960874905,2023-03-01
CUS_0x1134,15279.545,1517.7916271206154,0,5,8,3,"Credit-Builder Loan, Mortgage Loan, and Debt Consolidation Loan",1,4,6.99,7.0,Good,168.35,27.60211956243887,30 Years and 10 Months,No,76.53930322159488,17.680099486789082,!@9#%8,349.81392850433366,2023-10-01
CUS_0x1135,83358.3,6896.5250000000015,5,3,5,3,"Auto Loan, Not Specified, and Auto Loan",6,6,2.66,7.0,_,727.88,24.20426009832673,30 Years and 10 Months,No,169.93600478124742,243.03652769348827,High_spent_Medium_value_payments,526.6799675252644,2023-03-01
CUS_0x1136,37360.94,2864.411666666667,10,5,33,5,"Home Equity Loan, Auto Loan, Debt Consolidation Loan, Mortgage Loan, and Not Specified",44,12,_,11.0,Standard,1271.23,36.19634556049452,11 Years and 10 Months,Yes,93.34174656716053,254.47810388792874,Low_spent_Small_value_payments,228.62131621157747,2023-06-01
CUS_0x1138,154868.24,13051.686666666665,2,5,10,0,,14,3,4.16,6.0,Good,242.75,42.320068058227136,29 Years and 11 Months,No,0.0,759.5938772793154,!@9#%8,825.5747893873512,2024-09-01
CUS_0x1139,94991.82,8144.985,7,6,13,0,,18,16,24.45,6.0,_,1320.61,39.28777692805084,26 Years and 5 Months,Yes,0.0,105.98185997612778,High_spent_Large_value_payments,948.5166400238722,2023-12-01
CUS_0x113e,34476.68,2715.056666666667,6,7,24,8,"Personal Loan, Student Loan, Personal Loan, Mortgage Loan, Student Loan, Not Specified, Auto Loan, and Debt Consolidation Loan",36,17,4.48,11.0,Bad,1976.63,23.55350923404709,11 Years and 6 Months,Yes,171.1757589064547,__10000__,Low_spent_Medium_value_payments,147.55738128895217,2023-02-01
CUS_0x1140,14532812.0,914.15,6,10,28,6,"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Mortgage Loan, Payday Loan, and Auto Loan",18,19,27.01,14.0,Bad,4128.98,29.370854851559912,6 Years and 11 Months,Yes,24.906263362349712,80.86351180980212,Low_spent_Large_value_payments,255.64522482784815,2023-02-01
CUS_0x1144,135851.24,11418.936666666665,4,4,18,2,"Home Equity Loan, and Auto Loan",28,19,11.19,13.0,Standard,695.12,32.631874548192144,25 Years and 2 Months,Yes,206.55719362380657,1139.0837370941445,Low_spent_Medium_value_payments,76.25273594871554,2024-11-01
CUS_0x1145,17975.32,1444.9433333333334,6,5,32,9,"Student Loan, Payday Loan, Not Specified, Mortgage Loan, Home Equity Loan, Payday Loan, Payday Loan, Not Specified, and Credit-Builder Loan",61,25,8.9,13.0,Bad,1263.1,25.681798029462104,12 Years and 5 Months,Yes,76.450324587172,176.77621007546128,Low_spent_Small_value_payments,181.26779867070005,2024-08-01
CUS_0x114a,15305.46,1230.455,0,7,2,2,"Student Loan, and Home Equity Loan",14,2,15.95,0.0,Good,642.42_,27.52511297681479,15 Years and 9 Months,No,20.301653868439384,64.77848007633177,Low_spent_Small_value_payments,327.96536605522886,2023-01-01
CUS_0x114b,107118.96,9104.58,5,7,5,3,"Payday Loan, Auto Loan, and Not Specified",24,8,10.49,3.0,Standard,1049.33,29.111560568760147,30 Years and 10 Months,Yes,53636.0,815.4767928955413,Low_spent_Medium_value_payments,235.41521726855115,2025-01-01
CUS_0x1151,17692.27,1335.3558333333333,6,5,29,6,"Payday Loan, Auto Loan, Home Equity Loan, Auto Loan, Personal Loan, and Auto Loan",35,25,28.12,9.0,Bad,3762.64,24.55496970878073,11 Years and 5 Months,Yes,78.44723488236784,167.4413850143566,Low_spent_Small_value_payments,177.6469634366089,2024-10-01
CUS_0x1152,31316.47,2510.705833333333,0,2,6,2,"Payday Loan, and Personal Loan",13,5,5.44,1.0,Good,800.89,36.4516560517456,18 Years and 6 Months,No,26959.0,124.97678843365013,High_spent_Small_value_payments,355.2718152011777,2024-11-01
CUS_0x1154,7645.095_,632.0912500000002,9,9,19,5,"Credit-Builder Loan, Credit-Builder Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",42,18,21.14,10.0,Bad,2869.83,24.63934637515448,12 Years and 2 Months,Yes,17.487851054475886,48.62391275641062,Low_spent_Small_value_payments,287.0973611891135,2023-06-01
CUS_0x1155,158483.48,12927.956666666669,2,1,1508,3,"Home Equity Loan, Payday Loan, and Personal Loan",1,3,2.65,1442.0,Good,471.82,31.462859625731845,28 Years and 3 Months,NM,347.53545957543184,870.8001476671714,Low_spent_Large_value_payments,344.46005942406373,2023-02-01
CUS_0x1156,10060.015,1103.3345833333333,3,9,17,6,"Student Loan, Student Loan, Home Equity Loan, Not Specified, Debt Consolidation Loan, and Payday Loan",18,12,9.29,15.0,Standard,1971.81,26.65609993818429,10 Years and 10 Months,Yes,32.28432276915212,72.27556199955825,High_spent_Small_value_payments,265.773573564623,2023-06-01
CUS_0x115c,41695.76,3401.646666666667,6,7,15,9,"Not Specified, Credit-Builder Loan, Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, Student Loan, Mortgage Loan, Debt Consolidation Loan, and Mortgage Loan",24,20_,31.99,8.0,Bad,4453.51,26.69776846386521,8 Years and 6 Months,NM,302.8057257057672,85.68416842593166,Low_spent_Large_value_payments,221.67477253496787,2024-02-01
CUS_0x1168,76440.52,6647.043333333334,0,4,9,2,"Mortgage Loan, and Student Loan",7,2,10.85,4.0,Good,998.47,36.402362376494544,20 Years and 9 Months,No,96.74970978904616,547.8585912822699,Low_spent_Medium_value_payments,300.0960322620174,2023-10-01
CUS_0x1169,115324.62,9772.385,2,5,8,4,"Credit-Builder Loan, Payday Loan, Student Loan, and Student Loan",9,6,5.5,3.0,Good,1316.45,40.506395476913774,23 Years and 11 Months,No,199.25125980012183,380.2486071571585,High_spent_Small_value_payments,657.7386330427197,2023-09-01
CUS_0x117d,70779.18,5861.264999999999,1,4,9,4,"Student Loan, Student Loan, Not Specified, and Debt Consolidation Loan",14,-2,3.61,4.0,Good,1340.31,25.856378034105678,21 Years and 5 Months,No,131.34831160336728,300.6020796271049,High_spent_Small_value_payments,414.17610876952784,2023-09-01
CUS_0x117f,93847.86_,7599.655,3,4,12,3,"Mortgage Loan, Credit-Builder Loan, and Home Equity Loan",14,10,11.52,5.0,Standard,1405.22,28.96635604822284,16 Years and 5 Months,No,196.7267019001216,522.5572278752046,Low_spent_Large_value_payments,310.68157022467386,2023-11-01
CUS_0x1182,176696.88,13780.774640498716,5,7,12,4,"Debt Consolidation Loan, Home Equity Loan, Payday Loan, and Not Specified",4,8,4.01,6.0,Good,433.68,41.770112169625456,17 Years and 2 Months,No,1169.8091164964517,320.0541317814041,High_spent_Large_value_payments,1022.7368432457347,2023-09-01
CUS_0x1183,134393.73,10944.4775,1,3,12,2,"Credit-Builder Loan, and Mortgage Loan",13,-1,11.49,3.0,Good,945.29,34.951282585470125,25 Years and 8 Months,No,136.0306304787093,178.10099644066003,High_spent_Medium_value_payments,1030.3161230806306,2024-04-01
CUS_0x1184,19867.475,1396.6229166666665,3,5,11,3,"Student Loan, Mortgage Loan, and Payday Loan",10,9,6.74,4.0,Good,707.29,26.68978981173729,32 Years and 8 Months,No,42.60688196261637,23.460944042729498,!@9#%8,313.5944656613208,2023-01-01
